Symbol	28iALS_1	28iALS_2	29iALS_1	29iALS_2	30iALS_1	52iALS_1	52iALS_2	00iCTR_1	00iCTR_2	25iCTR_1_A	25iCTR_1_B	25iCTR_2	83iCTR_1	83iCTR_2
UBA6	1515.96	1325.49	2046.09	2373.03	3139.98	1888.97	1133.23	2428.8	2369.05	3298.28	3562.29	4558.27	2698.67	2410.73
ESYT2	0.0	0.0	166.46	245.38	140.69	0.0	0.0	0.0	0.0	88.14	81.26	0.0	92.94	24.49
SHTN1	0.0	0.0	0.0	64.01	206.67	0.0	179.03	93.06	70.56	329.18	274.13	758.07	1469.21	1535.94
GXYLT2	45.16	0.0	220.66	135.43	0.0	556.94	390.97	40.96	37.02	22.63	0.0	0.0	0.0	25.72
ILVBL	0.0	200.78	670.33	765.68	493.34	426.52	122.09	355.28	155.03	690.57	623.43	1104.38	645.16	752.21
SH3PXD2B	666.56	171.46	936.95	1268.39	1346.82	1002.27	729.21	369.25	850.85	2097.9	1657.83	2510.06	1653.27	981.64
NBAS	0.0	55.16	241.73	468.63	340.5	250.32	168.9	0.0	0.0	381.51	367.14	593.6	370.58	332.62
CNOT1	1164.08	1366.22	1476.51	1829.97	1499.88	1561.78	849.98	2798.64	1918.65	3820.04	3563.43	4635.62	3414.29	3235.91
PGP	0.0	261.49	181.5	125.76	252.06	255.99	162.91	246.03	133.79	276.71	252.2	230.08	229.5	180.53
C5ORF51	0.0	58.59	81.48	134.88	106.15	63.37	0.0	118.6	89.89	225.83	199.44	438.33	295.37	235.14
BTBD17	0.0	44.43	0.0	0.0	0.0	0.0	0.0	83.44	81.98	62.07	0.0	27.7	11.4	0.0
SMCHD1	963.53	982.15	1365.09	1278.57	1311.16	642.68	510.52	1651.19	1310.49	1732.91	1725.49	2219.39	1582.25	1831.2
CASTOR2	0.0	0.0	0.0	0.0	176.92	0.0	0.0	0.0	133.02	198.88	251.45	310.26	202.68	180.6
UNC119B	92.08	110.98	83.46	368.49	320.7	274.22	87.21	590.16	470.67	807.86	946.71	403.73	434.37	395.65
MCRIP1	0.0	379.53	422.33	791.2	673.57	1080.18	593.18	852.5	632.78	1563.67	1308.13	2415.78	1027.45	970.97
DNASE2	144.58	685.4	3509.73	3853.86	3841.26	2487.39	1257.28	1555.98	777.89	3177.6	3462.13	2883.56	1842.03	1401.99
AGPS	1544.9	1315.63	3094.47	2903.77	3823.42	1973.9	908.47	2524.73	2228.86	6175.8	4911.37	5416.5	2701.63	2776.56
KIF2A	2181.28	2739.95	4552.52	4332.73	4318.12	2980.16	1397.44	5159.59	3748.62	7727.94	8137.35	10110.2	5952.66	5407.03
DDX39A	0.0	0.0	154.81	0.0	155.65	0.0	0.0	152.92	140.45	273.4	303.55	91.95	292.67	257.94
PDLIM1	482.72	954.44	5935.55	5958.58	11840.7	1788.17	692.76	539.3	599.01	5828.77	5660.17	6427.5	3200.52	2940.5
ACOT7	17640.0	30860.4	21195.7	16581.9	25355.6	7935.35	4050.31	33179.0	27106.4	17798.1	18647.2	21952.0	21650.7	14090.0
MYO1C	0.0	0.0	926.33	943.63	463.75	1275.9	708.66	193.23	234.65	360.37	255.02	251.24	174.43	109.0
SNAP23	0.0	0.0	243.78	742.35	593.89	680.81	416.89	208.2	162.51	736.15	837.91	785.2	105.98	153.14
AIP	0.0	202.55	491.03	26.83	0.0	80.0	159.2	578.38	510.17	835.67	785.26	980.66	755.82	631.2
GTPBP1	196.62	172.8	830.22	753.68	1051.11	964.64	318.57	1254.67	1272.99	1620.0	1634.64	1938.73	1650.58	1432.14
STXBP3	89.16	121.6	509.05	550.16	494.35	533.32	445.42	192.47	219.69	1158.83	1084.08	1208.43	644.69	810.02
ARVCF	110.71	152.36	424.25	347.58	678.12	198.02	0.0	850.23	517.08	1974.77	2074.5	2649.34	1448.09	1727.47
SMAP	0.0	0.0	54.16	68.84	80.31	67.41	0.0	88.25	81.49	155.73	158.36	149.15	95.06	84.53
AP3B1	825.64	928.13	1256.28	1164.93	1279.23	1446.22	1701.93	844.07	541.49	1477.5	1375.92	1045.37	851.12	1136.91
APBB1	0.0	0.0	0.0	0.0	51.68	0.0	0.0	0.0	86.72	114.72	43.38	114.82	124.83	0.0
NDUFS8	639.97	225.6	125.42	276.13	223.77	200.18	454.34	57.75	63.74	401.12	325.03	391.18	222.63	83.91
PSMD11	5322.19	7009.03	13299.6	11411.6	13884.8	9509.7	6324.33	11371.8	8608.25	17298.3	17664.0	19276.9	13472.7	11920.9
PSMD12	2250.28	2512.23	5056.46	6497.52	7362.56	4969.02	2787.52	4938.49	3870.14	9119.68	9384.21	14494.3	9626.65	8474.06
PSMD9	0.0	225.06	357.97	368.97	415.17	336.71	301.25	463.88	421.12	783.41	758.48	754.04	361.34	305.85
ATOX1	387.63	678.71	1026.91	1045.94	1554.93	1138.45	1167.75	701.14	590.66	1553.59	1529.46	1140.34	1511.0	864.02
PGRMC1	5413.01	7490.28	9283.48	9021.3	6198.61	6696.07	3151.65	9363.24	7344.67	6914.26	6971.9	7816.09	6772.21	8679.74
SUPT5H	416.88	578.75	1166.79	1040.94	916.87	790.03	332.22	1462.46	1234.34	1249.34	1245.95	1418.82	1000.8	992.8
DFFA	0.0	90.02	496.1	309.64	533.79	402.5	19.39	484.65	497.4	516.65	524.52	702.68	429.34	451.42
HIP1	57.95	0.0	0.0	216.71	45.34	0.0	0.0	186.02	396.05	186.11	60.35	66.17	36.79	32.23
LEFTY2	0.0	0.0	0.0	0.0	480.24	0.0	0.0	0.0	0.0	124.61	0.0	359.2	83.81	0.0
CLIC1	2207.22	2239.15	5402.61	4243.77	5871.11	4909.86	3096.09	3135.1	1783.62	4932.06	4808.98	4444.97	3720.95	3763.1
EIF3F	1824.76	2620.38	4535.58	3365.99	3448.64	3665.76	2366.94	2693.31	2504.92	3646.35	3342.11	6735.71	3235.26	4010.21
PDHX	122.92	120.13	247.44	325.46	163.57	179.51	130.43	175.04	322.1	320.22	283.75	342.13	115.99	154.95
DCTN6	90.88	153.51	216.93	255.7	315.51	196.14	104.98	289.5	215.85	742.65	628.33	424.84	362.26	383.9
SLC33A1	121.22	141.54	0.0	108.34	86.97	194.91	205.74	75.04	23.69	72.2	58.4	68.23	71.57	117.03
WASL	189.73	0.0	0.0	0.0	156.4	256.08	0.0	0.0	118.95	349.1	197.4	602.22	433.26	410.35
IPO5	2358.28	3748.37	5362.58	5135.35	7720.78	5729.62	2821.53	5190.87	4101.13	12780.0	11713.1	14389.5	13638.0	13544.4
SAP18	1026.45	996.95	1661.81	970.34	979.0	615.56	591.67	627.11	514.33	531.76	454.56	1243.89	1403.35	1981.91
IGF2BP3	4296.63	5976.92	9052.97	8668.83	7354.62	6845.67	3632.78	14414.6	12510.0	8475.68	8328.14	9151.23	5034.64	5447.01
DNM1L	2336.71	2338.62	3846.29	3265.86	4733.84	3608.01	1822.05	3596.42	3491.23	4016.5	4261.43	5953.19	5648.29	4564.93
RTCA	182.07	303.3	0.0	155.32	153.6	159.49	123.38	141.99	135.88	128.62	119.47	251.14	262.31	341.45
GOLIM4	357.35	45.13	836.0	916.68	721.77	1017.75	825.79	208.55	908.75	605.47	676.88	487.82	163.14	56.26
MANBA	209.55	672.51	1481.93	1292.19	2030.1	441.93	351.14	954.04	370.91	2108.09	2100.27	2054.65	1727.72	1569.92
AGRN	360.04	388.41	808.98	1554.09	2105.42	465.67	198.69	992.78	1263.31	3794.81	3511.31	3765.45	2314.52	2087.26
PLOD2	0.0	196.85	2025.75	1494.64	662.58	1938.85	1256.32	585.63	513.95	443.11	358.69	654.86	147.19	276.18
MEIS1	215.9	378.56	207.84	199.83	334.34	167.52	161.93	560.97	510.84	407.63	388.74	439.03	421.13	376.26
EXOC5	256.18	492.04	462.46	431.3	572.05	423.46	372.98	761.48	566.65	547.58	374.6	263.54	39.33	165.83
NDUFA4	5224.79	8050.22	16047.9	15693.9	14959.4	10010.8	6863.43	8826.79	7902.44	20946.6	21906.8	19933.0	6650.26	7142.64
PSMD14	178.86	557.5	917.44	770.23	1129.48	342.46	0.0	1168.04	1078.57	2298.28	2223.29	2563.57	1258.63	1381.45
BIN1	239.35	285.31	213.01	436.7	383.79	318.62	0.0	498.3	388.49	416.28	386.99	558.17	316.06	227.05
KPNA3	972.67	790.05	1165.25	1181.14	1602.63	1217.01	814.65	1188.35	680.17	2347.09	1848.77	2991.63	2022.53	790.81
CHL1	0.0	85.72	1351.69	1635.5	2698.16	126.74	0.0	1281.57	1378.12	6169.12	6059.46	6291.31	338.81	23.51
VWA5A	0.0	118.15	0.0	88.33	1069.95	728.05	45.92	122.78	260.92	1550.5	1576.28	2631.22	853.78	563.34
PES1	0.0	0.0	434.34	691.99	0.0	0.0	0.0	0.0	359.7	151.47	431.55	527.63	137.98	329.44
SDCBP	361.06	426.03	718.31	446.92	523.05	355.64	367.41	428.4	493.63	678.36	732.01	964.2	647.95	757.03
NOP56	1107.65	1612.52	5584.54	5285.35	3373.01	2307.8	1459.66	3117.98	2505.78	5590.38	5548.18	5566.31	3218.89	2936.15
DDX3X	600.43	624.35	900.12	451.89	1326.69	430.74	586.8	445.97	415.98	676.77	680.3	1409.51	842.07	2186.77
PODXL	723.53	647.5	754.22	800.53	3222.89	601.25	0.0	584.89	448.49	2066.05	1937.25	899.32	258.27	295.07
PIR	0.0	55.57	149.38	140.97	797.93	244.39	199.71	628.92	401.93	600.35	611.26	612.32	941.22	1121.85
KPNA4	85.71	140.37	755.43	542.44	531.97	329.66	140.07	348.97	235.88	689.95	746.01	1326.14	1092.05	538.88
NFIB	0.0	0.0	211.6	216.23	220.82	212.71	162.39	341.62	259.46	477.91	645.09	565.54	459.0	340.68
PPP6C	391.3	266.15	558.88	522.72	2444.75	394.54	282.37	2539.07	335.12	3274.39	3580.59	4551.31	3178.36	3185.73
NME4	1141.41	953.47	2627.33	1876.45	1808.26	1745.03	1478.02	2072.67	1733.26	1813.79	2160.15	2228.5	1048.14	908.79
MAN2B1	1429.33	2027.8	5304.31	4505.69	7262.3	4359.06	3511.75	1140.21	1075.93	4561.22	4768.14	5765.93	3725.9	3996.91
PDXK	220.58	268.45	170.04	689.97	450.31	867.45	87.64	387.91	369.97	611.51	674.09	1156.94	894.62	760.3
SCD	0.0	224.48	576.61	533.99	383.81	425.25	269.59	353.62	243.79	389.69	476.69	931.06	45.87	209.05
PLPP3	275.84	463.07	1910.2	1628.19	2192.34	1779.28	1442.23	2615.49	1700.74	5657.67	5725.66	4809.97	1550.7	1430.25
ARID1A	0.0	227.87	396.04	648.58	454.96	297.59	0.0	1047.71	964.73	980.73	1036.33	1049.53	943.84	1056.28
ISLR	274.55	0.0	383.72	336.39	158.77	249.87	127.66	338.81	214.06	159.62	174.04	164.45	0.0	0.0
SDHD	0.0	0.0	120.12	88.48	42.87	0.0	65.49	0.0	0.0	102.49	110.87	64.62	76.06	0.0
TXNDC9	0.0	0.0	0.0	0.0	100.7	53.99	0.0	199.99	0.0	352.86	0.0	0.0	255.45	0.0
DPYSL4	27781.7	40906.0	22961.6	22148.0	29402.7	11662.6	4943.2	33427.8	32805.3	61231.5	59663.4	63425.9	57390.2	51557.8
TRAFD1	10.64	10.63	22.37	16.26	25.4	14.91	14.01	21.37	0.0	24.26	30.73	13.95	4.17	5.3
COX7A2L	73.54	91.09	102.25	123.37	115.57	92.01	44.5	127.34	142.56	151.46	187.18	128.69	0.0	0.0
NDUFAB1	199.11	441.85	1811.14	1379.01	1451.46	728.9	312.74	804.62	689.5	1716.3	1705.4	2157.11	1744.78	1644.42
UBFD1	335.44	794.14	978.12	960.3	1110.83	1274.98	732.92	1113.44	811.72	1344.59	1289.16	1899.16	884.08	1028.11
COPE	346.35	695.7	2616.2	2217.16	1912.21	2667.57	1637.5	1121.99	1150.62	2696.29	2517.23	3101.39	1891.84	1753.21
EIF1AY	0.0	0.0	196.29	186.55	0.0	98.72	128.72	0.0	0.0	289.79	329.67	261.34	0.0	0.0
AP3D1	342.92	598.25	1179.62	730.35	994.37	878.77	534.97	643.15	698.63	1637.63	1918.58	1684.06	1446.44	1120.82
CCS	0.0	306.42	636.69	602.48	894.04	641.08	392.62	838.63	706.91	726.49	780.16	890.63	679.29	757.21
ABLIM1	0.0	0.0	349.07	729.76	970.01	398.18	0.0	0.0	581.48	1883.6	2287.71	2171.43	316.95	216.5
CHD2	0.0	0.0	0.0	0.0	39.16	0.0	0.0	93.93	86.44	127.21	194.65	173.87	96.46	92.17
GOSR2	270.3	382.99	813.95	932.83	560.54	445.48	265.29	591.83	489.33	625.46	661.6	807.38	262.94	320.58
ENC1	0.0	57.83	54.49	0.0	51.69	0.0	0.0	0.0	0.0	57.11	36.14	49.13	35.67	64.0
TP53I11	0.0	0.0	0.0	18.92	0.0	0.0	0.0	0.0	152.67	213.0	237.68	194.85	473.93	293.35
CDIPT	651.05	1159.4	1708.21	1610.56	1447.45	1025.62	475.14	1494.09	1013.15	976.83	1069.49	1392.74	926.79	941.19
PDCD5	324.04	865.86	1987.99	1215.91	1953.17	1351.48	873.78	2086.75	1348.02	2559.05	2202.91	4676.23	3018.48	3443.73
PRMT5	2229.32	2346.32	3018.59	1684.11	3620.08	4009.27	1855.25	4681.32	3687.25	2631.61	2605.24	3305.31	3829.82	2799.54
SLC9A3R1	159.01	68.58	17.44	212.27	605.95	97.77	0.0	58.78	393.9	640.37	675.12	338.14	324.32	87.61
TNFRSF10B	0.0	78.37	0.0	146.75	74.89	93.38	75.38	98.34	63.64	70.86	69.65	106.54	94.89	0.0
MEIS2	0.0	0.0	229.42	209.61	84.2	0.0	68.2	393.97	305.42	337.3	340.48	471.13	400.67	405.53
TPP1	829.6	724.54	1907.93	1637.17	4999.78	1557.58	1965.55	1138.58	955.75	4970.66	4637.65	2027.73	2237.66	4750.31
TCERG1	1752.78	3550.3	4015.81	4640.67	4288.18	2381.67	1963.43	5632.19	4531.46	6418.21	6532.77	8354.96	5466.51	5528.67
TNPO2	81.65	60.19	141.27	113.35	107.44	96.0	74.74	164.45	147.6	375.46	335.73	436.84	272.89	363.2
PSMA7	701.12	1709.82	5058.63	4610.56	4502.32	3808.68	1572.83	3451.0	3167.0	3893.92	11502.9	11621.7	7888.93	6922.26
SCAMP3	624.45	691.21	1091.29	1518.86	1053.51	664.67	441.01	1479.79	1364.49	1485.78	1423.94	1002.58	522.46	631.45
PHYH	0.0	0.0	0.0	247.72	0.0	0.0	0.0	263.63	247.43	255.41	310.79	286.73	111.27	109.17
MGST3	499.83	546.38	908.49	835.8	723.37	424.42	380.9	1262.83	919.64	695.79	709.85	510.56	803.94	702.05
TAX1BP3	0.0	59.57	179.48	179.29	133.96	159.33	55.85	133.02	92.91	159.84	160.9	149.99	98.82	83.29
GIPC1	0.0	284.07	411.18	421.61	682.24	351.24	107.91	442.63	598.98	915.53	751.15	895.52	447.15	495.97
LIN7A	0.0	272.61	108.19	0.0	0.0	0.0	0.0	0.0	0.0	182.87	196.37	183.03	117.38	128.27
HAT1	74.29	108.1	266.11	212.49	218.5	143.26	82.06	618.24	393.43	523.62	450.13	502.21	452.03	559.56
UBE2L6	0.0	0.0	0.0	93.35	82.19	101.63	0.0	0.0	0.0	95.55	83.8	0.0	67.73	89.22
CASK	871.89	655.94	1354.47	1059.98	865.24	556.58	222.14	448.19	438.02	1456.64	1261.72	1465.2	1502.03	1856.6
UQCRQ	642.22	0.0	1150.6	984.98	947.23	82.81	0.0	1076.12	1027.34	848.74	719.6	1110.35	552.65	558.17
HGS	107.13	206.29	358.98	296.65	567.93	318.16	64.7	282.23	446.74	918.83	949.68	1055.04	663.03	547.57
CLGN	0.0	0.0	97.29	128.14	156.23	0.0	0.0	94.69	150.33	156.52	136.97	90.96	52.85	131.62
DSCR3	0.0	0.0	67.57	67.66	96.44	61.69	40.03	65.21	30.43	152.91	170.14	259.65	178.45	150.68
PPP1R12A	64.66	337.04	2050.7	2005.06	2334.17	1237.7	1161.06	2062.87	1837.15	1376.11	1468.39	1907.62	788.9	872.15
HNRNPDL	2597.18	3525.85	5558.34	5780.62	4384.9	2753.21	1529.99	5780.74	4214.84	13616.9	13134.2	6564.72	7254.45	6214.45
XPO1	1204.04	1699.06	2430.7	2786.76	2597.07	2202.08	1525.41	3389.93	2672.68	2978.98	3542.79	4885.95	3124.09	3885.87
SPTBN2	595.86	1107.61	1507.66	2673.61	1434.44	171.29	0.0	3175.09	3091.05	3797.9	3880.84	3516.22	2487.3	2376.21
SEC16A	214.7	372.62	509.41	621.4	625.74	551.71	315.63	393.56	564.76	370.43	640.93	708.71	126.24	326.93
PLXNB2	0.0	743.92	1783.1	1689.28	1637.94	1262.5	498.28	1596.22	1287.25	3167.42	2658.89	3662.39	1839.43	2013.82
U2SURP	2137.48	2066.24	4481.11	173.75	1821.7	3211.37	0.0	348.33	65.51	93.19	2143.53	99.72	62.11	99.99
SYNM	0.0	0.0	854.59	1186.64	1342.28	291.96	231.25	396.27	415.91	4323.47	4467.17	4169.72	2332.24	2199.87
PFAS	475.79	1056.44	1553.56	1588.69	2773.79	1424.67	625.12	2662.73	2054.05	3994.38	3586.1	5817.6	2975.2	2756.71
NACAD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224.73	172.03	170.98	233.56	289.5	195.18	206.97
DCLK1	11653.0	12770.2	4341.38	7327.22	14242.2	4199.78	897.24	12273.7	8328.23	28321.1	33175.9	19811.3	28067.6	23995.9
LSM1	78.54	97.02	256.1	147.89	352.14	214.23	113.62	156.66	169.87	466.48	477.48	569.08	591.57	534.05
NPC1	0.0	237.05	459.13	500.09	537.04	341.4	92.27	375.79	273.72	576.98	515.61	801.83	349.13	284.08
SCAMP1	333.37	543.54	307.03	242.03	305.93	267.07	222.83	0.0	303.38	194.91	196.38	131.04	0.0	56.1
SCAMP2	0.0	0.0	684.21	567.41	562.39	448.23	0.0	720.55	586.96	456.31	1004.53	252.42	183.17	310.52
ARPC1B	83.86	670.49	3232.64	1427.94	2615.55	1880.21	689.0	934.39	724.1	1018.06	1156.32	1342.69	723.17	659.24
ARPC2	3481.88	4494.98	12923.8	10113.2	11980.7	8961.24	6079.41	4947.17	4126.13	10273.7	10891.4	10279.0	8130.03	7630.66
ARPC3	2046.34	4328.89	5580.56	5096.61	5703.97	5174.04	1943.87	2076.25	1952.63	2513.68	2704.78	5200.19	3362.01	2528.34
BET1	0.0	0.0	681.75	577.79	285.24	0.0	0.0	469.44	360.91	549.42	515.3	492.38	244.72	204.52
POLR1C	0.0	0.0	0.0	95.98	143.61	0.0	0.0	53.02	150.01	212.21	225.85	311.52	215.03	158.57
TRIM24	0.0	0.0	145.04	133.43	171.73	67.78	0.0	184.76	76.61	206.92	225.88	181.44	189.68	173.5
PGRMC2	1314.26	1947.16	5490.62	6240.43	3863.31	4273.87	2636.61	2000.4	1654.88	3463.82	3821.82	3169.93	2907.31	3494.56
PFDN6	856.21	699.35	2194.16	1334.98	1233.23	1241.35	600.88	2127.68	1593.7	3313.14	3392.56	4039.19	3133.12	2748.56
GSTA4	870.83	1022.0	860.65	126.63	1069.13	480.78	464.32	1612.95	1024.71	1451.44	1638.87	2736.45	2629.25	3186.32
GNPAT	711.58	0.0	853.06	644.4	164.99	425.83	0.0	386.29	327.19	250.71	203.34	504.11	369.35	290.58
LAMA5	0.0	0.0	0.0	20.85	37.4	18.59	0.0	20.41	23.41	0.0	17.05	0.0	0.0	0.0
VGF	1460.27	2419.68	1344.04	1772.17	2978.41	53.99	0.0	1182.3	1486.16	278.53	229.48	681.82	781.84	726.06
ACOX3	170.68	413.77	1161.68	1450.55	1875.58	1074.43	373.47	507.4	466.49	763.02	763.09	1428.45	537.8	457.74
RER1	0.0	66.18	198.9	307.38	182.46	135.48	28.15	116.81	158.61	190.71	164.35	169.0	76.55	70.33
SURF4	4670.72	7219.65	23290.8	29507.9	15949.3	24674.7	14294.2	11874.1	9367.57	10565.4	11336.3	16133.3	7130.59	7375.8
SPTLC1	0.0	0.0	634.37	472.31	605.13	122.01	52.75	415.05	48.2	134.78	46.49	470.74	162.62	227.47
SPTLC2	0.0	0.0	72.85	98.69	64.79	63.08	0.0	85.18	23.42	3.2	73.29	106.14	72.71	20.26
OGT	457.12	751.81	579.8	297.59	562.09	435.77	165.12	1144.65	717.78	616.68	473.07	771.66	260.64	359.28
TM9SF1	0.0	0.0	306.89	235.95	102.43	236.07	0.0	0.0	0.0	260.85	119.17	172.03	0.0	39.15
HMGB3	2426.98	2259.46	3555.22	2987.12	3568.21	2133.09	887.44	3232.44	2043.42	7038.58	6823.65	2727.63	3822.0	4175.21
PPM1G	835.59	1615.62	2115.26	2178.75	2622.01	1175.37	510.63	2902.38	2720.15	4099.17	3045.37	3510.15	2734.05	2312.19
EIF3D	2541.62	3189.75	6729.56	6785.1	5900.57	5557.42	3432.87	5421.97	4224.07	8117.49	8080.0	8914.31	5398.67	4430.19
EIF3H	297.33	1443.46	3399.67	2745.56	2704.77	2260.97	1324.56	1616.27	1126.98	4418.08	4157.77	4387.55	3021.84	2566.49
BCAT2	346.79	293.71	764.37	681.83	407.74	522.49	417.9	319.72	147.49	283.18	300.14	337.47	149.72	276.53
NCAM2	336.66	665.83	271.6	0.0	212.78	407.87	0.0	460.0	261.88	694.69	668.08	685.51	276.85	327.07
STX7	1532.83	2010.29	2487.2	3193.67	2666.86	3412.45	1898.92	2829.84	2987.95	3067.66	3232.4	2911.97	2112.47	2103.13
SLC31A1	0.0	0.0	150.91	0.0	0.0	99.92	0.0	0.0	0.0	219.22	155.69	148.92	0.0	0.0
P4HA2	1927.16	2645.94	9299.96	8405.28	3789.64	9248.16	4653.43	4863.55	3914.67	1746.46	2414.24	1842.89	1363.11	230.54
CAPN5	50.88	253.53	865.52	690.93	688.87	236.24	0.0	121.62	351.83	2231.17	2195.79	2654.94	1799.73	1289.04
YKT6	2102.69	2496.3	3611.35	2551.12	2994.69	3018.37	1879.8	2124.16	1770.36	4262.61	4718.83	7795.94	5279.44	5792.21
ARPC5	3672.59	4092.12	6134.69	6090.16	7520.2	6794.52	5964.21	4722.73	2723.09	3275.75	3326.09	3540.95	2655.95	3431.52
POLR2D	0.0	0.0	192.19	295.73	71.65	43.12	0.0	286.44	233.14	380.89	344.49	475.21	345.02	275.39
FABP7	24138.6	29117.7	89265.6	82197.9	256056.0	66543.2	41286.6	29849.9	24188.8	195009.0	127939.0	356980.0	114815.0	123020.0
DHX15	5411.87	6522.43	9480.59	10278.2	7812.73	7237.6	4297.83	9963.13	7743.29	13877.4	13784.7	16180.9	13133.8	13372.6
RNMT	1249.03	521.42	2198.34	2176.41	2202.43	311.97	165.25	1980.51	1292.24	2774.05	2978.89	2715.36	1489.54	1770.96
PLXNB1	0.0	0.0	0.0	105.19	0.0	55.67	0.0	113.71	0.0	305.24	279.83	352.85	202.34	192.49
RRP8	0.0	214.91	67.76	133.04	49.76	0.0	0.0	0.0	0.0	273.51	254.96	357.81	226.81	178.12
CYB5B	1468.36	1563.8	3503.97	3847.55	3879.14	2141.4	1221.0	3668.61	3287.23	3793.48	3919.9	2895.44	2277.77	2017.52
PRPF4	400.74	240.56	794.47	565.78	471.76	231.13	91.47	538.88	633.65	873.66	772.18	1165.38	872.52	738.34
PHGDH	22208.3	26741.0	57278.7	75239.5	43436.3	96970.1	68970.4	111102.0	87425.4	63599.8	62687.2	85113.2	48522.5	57449.4
NDUFS4	241.5	277.86	1216.88	1031.63	1061.1	416.21	159.73	701.28	618.6	2220.47	2249.44	2028.62	1280.84	1031.35
DYNC1LI2	2124.55	3329.16	3281.03	3680.16	5637.26	3260.29	1967.97	3278.03	3763.98	11403.6	11539.0	11471.1	8820.68	6986.88
PSMD3	3551.58	5386.13	8856.7	11586.1	12391.8	8095.15	4069.19	10424.6	8182.25	18246.6	17729.1	18965.8	11995.7	9555.35
RBFOX2	187.47	163.53	178.69	161.44	0.0	125.15	88.95	178.97	137.49	0.0	0.0	0.0	77.01	77.87
PAPSS1	68.5	92.49	0.0	381.11	490.69	164.38	121.8	247.57	252.47	1091.31	1071.68	1422.96	659.69	620.62
ZW10	213.3	154.51	632.27	548.28	502.59	473.75	403.51	422.55	378.86	409.48	210.85	563.71	315.2	343.68
SART1	77.75	501.79	1812.47	1365.86	880.44	927.52	249.4	1120.44	975.96	2210.28	2251.43	1868.04	1313.84	1215.85
GPAA1	0.0	407.84	1581.18	1032.46	985.58	817.78	560.83	720.17	504.24	977.24	993.52	1559.14	696.65	663.66
TGFB1I1	0.0	0.0	0.0	169.98	136.4	144.36	181.93	72.61	0.0	0.0	87.58	0.0	99.52	0.0
SRGAP3	582.47	468.22	132.48	277.37	353.86	0.0	0.0	254.69	461.22	1795.07	2111.05	2021.27	758.07	449.7
HSPA12A	299.47	823.02	187.81	315.04	1087.37	0.0	0.0	735.32	554.48	458.1	251.55	97.54	192.17	260.7
CTIF	0.0	0.0	0.0	66.2	0.0	69.52	0.0	46.43	52.66	79.62	67.91	106.13	121.59	94.36
EEF1E1	324.71	734.61	1349.49	1208.11	1172.33	1020.7	512.78	1004.41	712.37	1897.75	1980.57	1708.16	698.88	598.7
MSI1	491.9	666.17	678.67	1199.14	2128.85	298.13	235.96	1358.92	989.97	4018.62	4051.61	5268.92	2965.19	4006.98
HNRNPR	12320.1	21245.5	34663.8	34283.8	29229.9	16757.5	6587.37	57482.6	48680.5	77170.3	74474.0	87317.7	63954.7	52580.8
PRPF3	176.56	713.13	984.77	953.34	659.32	310.79	0.0	1213.13	1233.61	1103.69	1092.71	905.16	474.17	516.79
TXNL1	682.96	1140.58	2023.13	2067.1	2651.35	1704.55	599.16	1463.4	1261.68	3619.59	3927.71	5061.09	2931.2	2224.61
TPD52L2	685.51	965.82	2811.37	2633.73	2160.79	2607.52	1967.02	1051.94	869.64	2917.2	2931.12	1773.59	1352.0	1551.63
EMC8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	274.15	199.17	0.0	0.0
SYNJ1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.55	147.7	83.41	180.48	119.01	0.0
EIF4G3	50.42	53.26	0.0	50.3	39.77	43.97	40.25	136.4	0.0	332.5	194.51	336.75	253.89	251.51
PPIH	368.4	342.31	882.64	1231.78	733.8	680.1	1604.41	1178.07	821.31	2093.32	1774.33	1387.17	2247.73	2336.84
HTRA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKR7A2	85.24	646.93	962.97	1043.57	1140.95	1277.09	608.12	1468.79	1152.62	1937.94	1883.99	898.42	1577.9	1416.29
EPB41L2	343.51	376.52	1559.7	1399.96	1029.98	1152.44	463.61	1556.09	1482.11	2717.45	2682.63	2376.46	1125.89	743.0
LAMTOR5	80.53	156.17	704.39	753.74	769.44	387.18	82.24	689.95	511.71	880.98	867.51	1098.29	604.99	773.38
RNF13	0.0	82.42	140.83	157.0	244.54	109.87	0.0	113.04	117.9	179.9	346.22	197.71	148.51	103.67
DENR	0.0	0.0	1879.39	1906.96	1841.77	1910.47	1067.33	1150.85	1288.78	2332.39	2335.8	2867.15	1472.01	1494.7
XPOT	0.0	308.18	745.9	551.56	522.02	859.96	553.7	334.12	672.84	3232.2	2962.78	3920.53	1644.32	816.84
DNPH1	0.0	0.0	0.0	68.11	63.78	0.0	0.0	0.0	154.17	271.03	238.2	469.11	221.25	214.84
DCX	33142.5	39997.2	13059.8	10753.2	24750.9	2310.73	1087.98	27351.1	21053.5	17453.0	17943.8	20473.7	121172.0	113571.0
TIMM44	1059.68	1138.16	3752.83	3638.67	2069.71	2128.09	1998.28	1796.25	1902.22	3601.41	3193.41	4135.58	2003.52	2046.73
TRAPPC3	521.39	617.03	942.79	1318.58	1861.03	907.83	748.58	1551.38	1474.37	1276.56	1373.43	3225.58	2119.71	2266.18
