Symbol	28iALS_1	28iALS_2	29iALS_1	29iALS_2	30iALS_1	52iALS_1	52iALS_2	00iCTR_1	00iCTR_2	25iCTR_1_A	25iCTR_1_B	25iCTR_2	83iCTR_1	83iCTR_2
ILF3	17010.6	29115.2	67081.8	65860.6	60449.2	33255.9	13470.1	57794.0	47543.0	107969.0	110965.0	136476.0	83881.5	70391.8
LMAN2	3142.42	4383.06	12966.5	13690.6	8410.87	10746.8	5633.64	6269.92	5387.74	8545.49	8249.55	10195.2	6313.33	5334.59
ELAVL2	3577.06	4282.89	1381.2	1273.67	1456.61	444.33	296.91	3003.31	2804.24	1194.07	1132.1	1628.2	1357.61	1392.18
TRAP1	1713.15	2906.14	5363.89	5172.2	4626.03	3746.47	1438.6	4563.49	3887.55	8414.31	8252.47	9143.5	3780.3	3605.98
DLG1	281.29	63.73	449.02	502.25	395.02	470.62	341.75	191.96	177.81	302.29	287.63	258.78	165.32	153.14
PPP1R8	0.0	127.9	244.08	117.19	265.27	89.54	0.0	325.44	250.82	540.06	434.12	471.66	344.38	300.57
BNIP1	200.69	0.0	601.9	547.76	490.42	539.35	344.74	580.97	355.15	0.0	57.05	566.46	348.1	329.08
CSTF3	383.94	466.36	305.94	596.19	534.78	464.28	205.51	508.65	396.31	836.22	918.01	1120.3	714.8	579.65
ECH1	4248.91	6090.63	11013.5	11893.5	12919.1	5184.89	2546.98	6759.83	5183.0	21109.6	22205.2	27600.7	10331.6	9308.12
MLLT11	0.0	196.47	138.28	270.73	196.5	247.54	37.04	391.77	318.43	383.23	383.63	422.26	343.75	281.03
ARHGAP5	0.0	0.0	0.0	0.0	237.02	0.0	0.0	276.87	131.87	356.47	351.81	447.23	205.04	232.38
STRN3	0.0	223.61	458.23	374.47	364.35	404.42	0.0	422.23	318.87	435.95	438.38	370.11	353.57	285.21
CDC16	363.88	457.69	773.0	1011.93	724.11	784.97	470.98	519.49	66.48	129.74	616.92	669.15	427.42	603.46
STK4	0.0	0.0	0.0	0.0	25.26	26.14	0.0	31.63	262.38	267.98	289.67	310.33	233.0	185.16
